Menu,Item,Specs,Show as,API comment
General,Preset,Presetlist,,"#: #,name"
-,Voice,Voicelist,,"#: #,name"
-,Notemap,Notemaps,,name: name > name
-,Scale,Scalename,,name: name > name
-,Chord,Chordname,,name: name > name
-,SoundVolume,0-100-10,,
-,MidiVolume,0-100,,
-,Gain,0-300,,
-,Pitchrange,0-12,,
-,MidiChannel,1-16,,
Reverb,FVtype,FVtypes,On-off,name: name > x
-,FVroomsize,0-100,Roomsize,
-,FVdamp,0-100,Damp,
-,FVlevel,0-100,Effectlevel,
-,FVwidth,0-100,Width,
Wah,AWtype,AWtypes,Wah-type,name: name > x
-,AWmixing,0-100,Effectlevel,
-,AWlvlrange,0-100,Range,
-,AWqfactor,0-100,Q-factor,
-,AWattack,0-500,,
-,AWrelease,0-500,,
-,AWminfreq,20-500,,
-,AWmaxfreq,1000-10000,,
-,AWspeed,100-1100,LFO speed,
Delay / Flanger,DLYtype,DLYtypes,Type,name: name > x
-,DLYfb,0-100,Feedback,
-,DLYwet,0-100,Wet,
-,DLYdry,0-100,Dry,
-,DLYtime,1000-61000,Echo time,
-,DLYsteep,1-11,FlangerSteepness,
-,DLYsteplen,300-3300,Flanger steplen,
-,DLYmin,5-25,Flanger min,
-,DLYmax,50-150,Flanger max,
LFO=Oscillators,LFOtype,LFOtypes,,name: name > name
-,VIBRpitch,1-64,,
-,VIBRspeed,1-32,,
-,VIBRtrill,boolean,,
-,TREMampl,1-100,,
-,TREMspeed,1-32,,
-,TREMtrill,boolean,,
-,PANwidth,2-20,,
-,PANspeed,1-32,,
Chorus,CHOrus,CHOtypes,,name: name > boolean
-,CHOdepth,2-15,,
-,CHOgain,30-80,,
Moog low pass,LFtype,LFtypes,,name: name > x
-,LFresonance,0-38,,
-,LFcutoff,1000-11000,,
-,LFdrive,1-20,,
-,LFlvl,0-100,,
-,LFgain,10-110,# Carefully test before using values above 50,
Arpeggiator,ARPord,ARPordlist,,name: name > x
-,ARPstep,10-100,,
-,ARPsustain,0-100,,
-,ARPloop,boolean,,
-,ARP2end,boolean,,
-,ARPfade,0-100,"# 100 means ""no fadeout""",
