Controller,Type,Sets,Mode,#TAKE CARE: most keywords are case sensitive
ModWheel,Fixed,ModWheel,Continuous,
Volume,Fixed,Volume,Continuous,
Sustain,Fixed,Sustain,Switch,"# Pedal: Sustain. Pedal functions are complex to mix, so preferably use only one"
Drawbar1,Fixed,ReverbLvl,Continuous,
Drawbar2,Fixed,LFOspeed,Continuous,
Drawbar3,Fixed,VibrDepth,Continuous,
Drawbar4,Fixed,TremDepth,Continuous,
Drawbar7,Fixed,ArpSustain,Continuous,
Drawbar8,Fixed,ArpTime,Continuous,
Pot^1,Fixed,PitchSens,Continuous,
Pot_1,Fixed,ReverbRoom,Continuous,
Pot_2,Fixed,ReverbDamp,Continuous,
Pot_3,Fixed,ReverbWidth,Continuous,
Pot_4,Fixed,ArpFadeout,Continuous,#127 means no fade out =  repeat till toggled/set off
Button1,Fixed,Reverb,Toggle,
Button2,Fixed,Rotate,Toggle,
Button7,Fixed,ArpUpDown,Toggle,
Button8,Fixed,ArpRndLin,Toggle,
Button9,Fixed,Arpeggiator,Toggle,
Butt_<=>,BackTracks,1,Toggle,
Butt_<<,BackTracks,2,Toggle,
Butt_>>,BackTracks,3,Toggle,
Butt_[=],BackTracks,4,Toggle,
Butt_>,BackTracks,5,Toggle,
Butt_O!,Fixed,Panic,SwitchOff,
Pad_m1^1,Fixed,AutoChordOff,SwitchOff,
Pad_m1^2,Scales,C,SwitchOn,
Pad_m1^3,Scales,E,SwitchOn,
Pad_m1^4,Chords,Min,SwitchOn,
Pad_m1_1,Voices,1,SwitchOn,
Pad_m1_2,Voices,2,SwitchOn,
Pad_m1_3,Voices,3,SwitchOn,
Pad_m1_4,Voices,4,SwitchOn,
