Key;Midinote;# Key is case insensitive name of midi sensor you play
#------------------------------------;;
# Santoor snares;;
#------------------------------------;;
p1b1;0;
p1b2;1;
p1b3;2;
p1b4;3;
p1b5;4;
p1b6;5;
p1b7;6;
p1b8;7;
p1b9;8;
p2b1;9;
p2b2;10;
p2b3;11;
p2b4;12;
p2b5;13;
p2b6;14;
p2b7;15;
p2b8;16;
p2b9;17;
p3b1;18;
p3b2;19;
p3b3;20;
p3b4;21;
p3b5;22;
p3b6;23;
p3b7;24;
p3b8;25;
p3b9;26;
#------------------------------------;;
# Piano notes;;
#------------------------------------;;
a0;21;# 88 keyboard
a#0;22;
b0;23;
c1;24;
c#1;25;
d1;26;
d#1;27;
e1;28;# 76 keyboard
f1;29;
f#1;30;
g1;31;
g#1;32;
a1;33;
a#1;34;
b1;35;
c2;36;# 61+49 keyboard
c#2;37;
d2;38;
d#2;39;
e2;40;
f2;41;
f#2;42;
g2;43;
g#2;44;
a2;45;
a#2;46;
b2;47;
c3;48;# 25 keyboard
c#3;49;
d3;50;
d#3;51;
e3;52;
f3;53;
f#3;54;
g3;55;
g#3;56;
a3;57;
a#3;58;
b3;59;
c4;60;
c#4;61;
d4;62;
d#4;63;
e4;64;
f4;65;
f#4;66;
g4;67;
g#4;68;
a4;69;
a#4;70;
b4;71;
c5;72;# 25 keyboard
c#5;73;
d5;74;
d#5;75;
e5;76;
f5;77;
f#5;78;
g5;79;
g#5;80;
a5;81;
a#5;82;
b5;83;
c6;84;# 49 keyboard
c#6;85;
d6;86;
d#6;87;
e6;88;
f6;89;
f#6;90;
g6;91;
g#6;92;
a6;93;
a#6;94;
b6;95;
c7;96;# 61 keyboard
c#7;97;
d7;98;
d#7;99;
e7;100;
f7;101;
f#7;102;
g7;103;# 76 keyboard
g#7;104;
a7;105;
a#7;106;
b7;107;
c8;108;# 88 keyboard
