Control family,Type,Control,Mode,#TAKE CARE: most keywords are case sensitive
#  ###########################,,,,
#  DO NOT EDIT THIS TABLE !!!!,,,,
#  ###########################,,,,
Miscellaneous,Fixed,EffectsOff,SwitchOff,# Switch all effects  off
Miscellaneous,Fixed,Panic,SwitchOff,# Kills all ongoing sounds
Miscellaneous,Fixed,ProgramUp,Switch,# Not needed when standard Program up button present
Miscellaneous,Fixed,ProgramDown,Switch,# Not needed when standard Program down button present
Miscellaneous,Fixed,PitchWheel,Continuous,# Not needed when standard pitchwheel present
Miscellaneous,Fixed,PitchSens,Continuous,# Range of the pitchwheel
Miscellaneous,Fixed,Volume,Continuous,
Sustain / Damp,Fixed,Sustain,Continuous,"# Pedal: Sustain. Pedal functions are complex to mix, so preferably use only one"
Sustain / Damp,Fixed,Damp,Continuous,# Pedal: Damp all (conventional damp)
Sustain / Damp,Fixed,DampNew,Continuous,"# Pedal: Damp only new notes,  a kind of pizzicato effect"
Sustain / Damp,Fixed,DampLast,Continuous,# Pedal: Notes played during pedal press are damped on pedal release
,,,,
"## LFO effects: vibrato, tremolo, panning and rotate ##",,,,
Oscillators,Fixed,Rotate,Toggle,
Oscillators,Fixed,Vibrato,Toggle,
Oscillators,Fixed,Tremolo,Toggle,
Oscillators,Fixed,Panning,Toggle,
Oscillators,Fixed,LFOspeed,Continuous,
Oscillators,Fixed,VibrDepth,Continuous,
Oscillators,Fixed,VibrSpeed,Continuous,#Can be set with LFOspeed
Oscillators,Fixed,VibrTrill,Toggle,
Oscillators,Fixed,TremDepth,Continuous,
Oscillators,Fixed,TremSpeed,Continuous,#Can be set with LFOspeed
Oscillators,Fixed,TremTrill,Toggle,
Oscillators,Fixed,PanSpeed,Continuous,
Oscillators,Fixed,PanWidth,Continuous,#Can be set with LFOspeed
,,,,
## Chorus ##,,,,
Chorus,Fixed,Chorus,Toggle,
Chorus,Fixed,ChorusDepth,Continuous,
Chorus,Fixed,ChorusGain,Continuous,
,,,,
## Reverb ##,,,,
Reverb,Fixed,Reverb,Toggle,
Reverb,Fixed,ReverbLvl,Continuous,
Reverb,Fixed,ReverbRoom,Continuous,
Reverb,Fixed,ReverbDamp,Continuous,
Reverb,Fixed,ReverbWidth,Continuous,
,,,,
"## Various WAH effects (wahpedal, autowah, LFO-wah) ##",,,,
Wah,Fixed,EnvelopeWah,Toggle,# Choose AutoWah
Wah,Fixed,LFOwah,Toggle,# Choose Oscillator driven Wah
Wah,Fixed,ManualWah,Toggle,# Choose manual Wah (usually a pedal)
Wah,Fixed,WahLvl,Continuous,# Wet/dry mix
Wah,Fixed,WahMin,Continuous,# Minumum of wah filter range
Wah,Fixed,WahMax,Continuous,# Maximum of wah filter range
Wah,Fixed,WahQ,Continuous,# Qfactor
Wah,Fixed,WahAttack,Continuous,# Auto(envelope)wah attack sensitivity
Wah,Fixed,WahRelease,Continuous,# Auto(envelope)wah release sensitivity
Wah,Fixed,WahSpeed,Continuous,# LFOwah oscillator speed
Wah,Fixed,WahLvlRange,Continuous,# LFO and manual/pedal “strength”
Wah,Fixed,WahPedal,Continuous,# Manual/pedal controller
,,,,
## Echo and Flanger (fast echo) ##,,,,
Echo / Flanger,Fixed,Echo,Toggle,# Choose Echo
Echo / Flanger,Fixed,Flanger,Toggle,# Choose Flanger
Echo / Flanger,Fixed,DelayFeedbackVol,Continuous,# Echo + Flanger
Echo / Flanger,Fixed,DelayWet,Continuous,# Echo + Flanger
Echo / Flanger,Fixed,DelayDry,Continuous,# Echo
Echo / Flanger,Fixed,DelayTime,Continuous,# Echo
Echo / Flanger,Fixed,DelaySteep,Continuous,# Flanger (gradient)
Echo / Flanger,Fixed,DelaySteplen,Continuous,# Flanger (cyclelen)
Echo / Flanger,Fixed,DelayMin,Continuous,# Flanger (minimum of flanger range)
Echo / Flanger,Fixed,DelayMax,Continuous,# Flanger (maximum of flanger range)
,,,,
## Moog low-pass ##,,,,
Moog low-pass,Fixed,Moog,Toggle,
Moog low-pass,Fixed,MoogLvl,Continuous,
Moog low-pass,Fixed,MoogResonance,Continuous,
Moog low-pass,Fixed,MoogCutoff,Continuous,
Moog low-pass,Fixed,MoogDrive,Continuous,
Moog low-pass,Fixed,MoogGain,Continuous,
,,,,
## Overdrive ##,,,,
Overdrive,Fixed,Overdrive,Toggle,
Overdrive,Fixed,OverdriveBoost,Continuous,
Overdrive,Fixed,OverdriveDrive,Continuous,
Overdrive,Fixed,OverdriveTone,Continuous,
Overdrive,Fixed,OverdriveLvl,Continuous,
,,,,
## Limiter ##,,,,
Limiter,Fixed,Limiter,Toggle,
Limiter,Fixed,LimitThreshold,Continuous,
Limiter,Fixed,LimitAttack,Continuous,
Limiter,Fixed,LimitRelease,Continuous,
,,,,
## Arpeggiator ##,,,,
Arpeggiator,Fixed,Arpeggiator,Toggle,
Arpeggiator,Fixed,ArpUp,SwitchOn,#Can be set with ArpUpDown
Arpeggiator,Fixed,ArpDown,SwitchOn,#Can be set with ArpUpDown
Arpeggiator,Fixed,ArpRandom,SwitchOn,#Can be set with ArpRndLin
Arpeggiator,Fixed,ArpUpDown,Toggle,
Arpeggiator,Fixed,ArpRndLin,Toggle,
Arpeggiator,Fixed,ArpLoop,Toggle,
Arpeggiator,Fixed,ArpPlay2end,Toggle,
Arpeggiator,Fixed,ArpTime,Continuous,
Arpeggiator,Fixed,ArpFadeout,Continuous,#127 means no fade out =  repeat till toggled/set off
Arpeggiator,Fixed,ArpSustain,Continuous,
,,,,
## Auto chord ##,,,,
AutoChord,Fixed,AutoChordOff,SwitchOff,
AutoChord,Scales,<scale name>,SwitchOn,# Scale has to defined in scales.csv
AutoChord,Chords,<chord name>,SwitchOn,# Chord has to be defined in chords.csv
,,,,
## Functions to choose particular options from lists with midi buttons ##,,,,
Miscellaneous,Voices,<voice number>,SwitchOn,"# Voice > 0, voice# should be assigned to a sample pattern"
Miscellaneous,BackTracks,<backtrack number>,Toggle,"# Backtrack > 0, track# should be assigned to a sample"
Miscellaneous,Notemaps,<notemap name>,SwitchOn,# Use None or any not existing notemap for no notemapping
Miscellaneous,FXpresets,<effect presetname>,SwitchOn,# Names in box+set csv can be chosen
,,,,
## Midi files player / recorder ##,,,,
Midi Player,SMFs,<SMFseq number>,Toggle,"# SMF > 0, seq# starts/stops assigned to a sample"
Midi Player,Fixed,SMFstop,SwitchOff,# Stops playing sample
Midi Player,Fixed,SMFloop,Toggle,"# Can make sample loop, if so: pressing stop first ""unloop"" and second press stops immediately"
Midi Player,Fixed,SMFtempo,Continuous,"# unreliable, use on your own risk"
Midi Player,Fixed,SMFrecstart,SwitchOn,# Starts recording (at first touch of a key / controller)
Midi Player,Fixed,SMFreccancel,SwitchOff,# Stops recording without saving
Midi Player,Fixed,SMFrecsave,SwitchOff,# Stops recording and saves the file
,,,,
## Menu buttons assignment ##,,,,
Menu buttons,Fixed,Menu_Incr,Switch,# The 4-button menu system
Menu buttons,Fixed,Menu_Decr,Switch,
Menu buttons,Fixed,Menu_Sel,Switch,
Menu buttons,Fixed,Menu_Ret,Switch,
,,,,
## Aftertouch effects ##,,,,
Aftertouch,Fixed,chafReverse,Toggle,# Inverse pressure reading for channel aftertouch
Aftertouch,Fixed,pafReverse,Toggle,# Inverse pressure reading for polyphonic aftertouch
Aftertouch,Fixed,pafVolume,pAftouch,
Aftertouch,Fixed,pafPitchBend,pAftouch,
Aftertouch,Fixed,pafPitchRange,Continuous,# Set depth of above
Aftertouch,Fixed,pafPan,pAftouch,
Aftertouch,Fixed,pafPanWidth,Continuous,# Set depth of above
Aftertouch,Fixed,pafChoke,pAftouch,
